epoch;num;T;content
25;4;0.9;вое прукрет мбялони шин оно, отероти онаэть скреду  вестонекоз, вотол пеженето олня потель почты с жерть
25;0;1.2;токохфети
25;1;1.2;ыто, пы
25;2;1.2;палытяме параймитмя ое неджчтуспамсогоскне
25;3;1.2;граридим тдагувиэть снакоусечс жерунуи
25;4;1.2;ис пронллио
25;0;1.5;зыв
25;1;1.5;сь япыхиськуочвомкадыхмотесмьзв: мапоетуте, ибитт
25;2;1.5;овузтехсе этывиютовллегмя,жн наэте м очан 
25;3;1.5;еодворомоапзобрегняв
25;4;1.5;а сбэдеом вотва, скавалрь срона орнсем гесиеж
50;0;0.3;вото дамерени серя не полидали стали на продел у потори
50;1;0.3;си на пожели стали он подером стовал вы в полинил гарри в горри с горри в убодил семе сказал горри на постом не подель о сказал сказал сери на не на просели
50;2;0.3;вазвел на постола сего на дала слисни сери
50;3;0.3;на стали не поровал вы демнело не не на подола серишет е полиди не на стола серина сирина в доль на весто сего просил сернил столи сказал гарри и просил сериный сказал солона
50;4;0.3;на сказала поронал стазал воде на он вестери он потола в порадил сказал ваде он вели на не сторит вонил мариди собли не постовали серина сказал самина на дали в дем он подовала и на подели горри не 
50;0;0.6;на из виз такой горри
50;1;0.6;пораз восе не залино те смому подостени сказал гарри сны на вабелиси и была он пазал на деть у прада мада вельене и горри
50;2;0.6;ене не сей плизил в на узались вскали то была стали датике какомы и териу
50;3;0.6;о сика не вытался, и полочти у детловое стала свегла в гагри дабри
50;4;0.6;горм да ростровонили и домали, сена ведла не он он вего реме оваль казала
50;0;0.9;ваеди ссвона
50;1;0.9;на домего слазила нате каюнен не севукаль
50;2;0.9;одниместо питинну азбеденая сегинау с вего, модо бы
50;3;0.9;мевеней гырижи не ита далс дачолу, парли, далися и бы навовилали
50;4;0.9;нат помили ерапитуй патиты у дбем ну вадя голама
50;0;1.2;
50;1;1.2;хомиящивееся длисцасьни стол гаря
50;2;1.2;довию, ненес туде неле гуриме сказаласяегесд хискал игну утадутамсиси небыт, ялсдая
50;3;1.2;еюшьны емшин уедся ней чшикацаес, гросинемеу тогнов, скращий,
50;4;1.2;гэдто желичие
50;0;1.5;волве,яьвелиг суез задиввгросум невяддяся, срихося: рачивно, сподвотелыметя,, хед
50;1;1.5;егожинив тен поем прям есоретим живс отной теношиисполсчь, чху певарнус, домеас
50;2;1.5;оч нас та
50;3;1.5;юспвасичимлюутсим со сполдой ни   быойзватстом
50;4;1.5;чегь чнмыер одроломнцана
100;0;0.3;он сказал гарри от был на столо и половал вы просил не мотся сторной гарри
100;1;0.3;потолой в слодо все пототь полочие и стором минет сказал сказал сказала добор подорил сказал он сказал гарри
100;2;0.3;ну подтал на него гарри
100;3;0.3;гарри в серь сказал сори
100;4;0.3;вот не сказал гарри от посто все сказал горри и не совернил не постола и нас издел на посто не постер и сердить он сказал сири
100;0;0.6;поже просиладим сказал горри обудрица не нестом поленя от повери
100;1;0.6;пострала на помало и се четь
100;2;0.6;потоли о нас оне волсе крако
100;3;0.6;что же удаллано покродося и утилось за метит смола урато азринит
100;4;0.6;старил сариная с кля
100;0;0.9;схаза не когка а, нечень прили либи зелевия гермионый сбебажовел на готул слышал сибый
100;1;0.9;сматри полваем черст
100;2;0.9;хоготресуд в вседенуки обракстом ракут мотго боль
100;3;0.9;был полозулись длмесиси в заратседи
100;4;0.9;тус в зотолить дамбрада но род
100;0;1.2;цийнез хониеве, гошие извиния, по хочнимяс еры
100;1;1.2;вноросстро нелитую, андую,сьних блази досприустно зе еебые зоебмииловесте, в жушил
100;2;1.2;лямой шидя сель
100;3;1.2;на, еще меня на ведде
100;4;1.2;остакосный ривдашся
100;0;1.5;эты он идушу, позасзаног тток, датчося, сны, я пос омщеутсе
100;1;1.5;сто: сокотау, пирхаязнюурл
100;2;1.5;а в у пушкко угдолоневоручея
100;3;1.5;ндяя, ононегил видтги, озчтюрлвючь федеццадамуймойцтогл вргоят
100;4;1.5;ка темон в шнповейверси так и
150;0;0.3;на столь в семнате и потом на гермиона
150;1;0.3;не потом не вы не сказала
150;2;0.3;гарри серятся совери
150;3;0.3;в посто стали подмернил постала не полоча
150;4;0.3;в наво дома не слова и не возрази
150;0;0.6;на седето кранние и передома покого сириус солоны
150;1;0.6;сказала магися ничал
150;2;0.6;гарри не болься сева сказал поряде с остеру своере на согла не можал гарри в замоси
150;3;0.6;восруждо с ней, как гарри примеглино
150;4;0.6;сиди, они сметели в полочно понноваем сраза не неся коречко и потарулся дела
150;0;0.9;гарри и до жевении было и пышал, крагим в камиет
150;1;0.9;то дый вы устолиной поличной
150;2;0.9;мастро вно
150;3;0.9;гермисныя белукер
150;4;0.9;уше гарри вычела, сказал горумна, как де малфонс, не харддо, брел ое когда зером ждо хоть в соймют
150;0;1.2;отнулегая дамлятая, вслровала у оня
150;1;1.2;мусприкруялся, оже не орсну
150;2;1.2;дрегловы маможно икьх
150;3;1.2;луча, слашнай, домачтое в арджат
150;4;1.2;я но отрасный выдитэма, вской в кограки
150;0;1.5;азволжы менем, чат выпедимкямвнемц имедя комоннем
150;1;1.5;эту токет был енрих егла гоед, что войскутьск
150;2;1.5;сгогоен чглоткур, судил
150;3;1.5;мам энй оведе на незженлганось
150;4;1.5;зжденожном, о оскьзя
200;0;0.3;на то подомолить на семной полочно
200;1;0.3;вы не только был сириус
200;2;0.3;гарри подолжал на него постова
200;3;0.3;не полочила сириус и не вздел в кака подома сказал сказал совор не сторо
200;4;0.3;он провернулся с него волшебни
200;0;0.6;полепто в сириус, крень ладо
200;1;0.6;вы не она залодил гарри
200;2;0.6;стотить повернились в которо
200;3;0.6;она все это пробловал гарри профли спросис
200;4;0.6;не больше не хотим то он под рад подклат пыла
200;0;0.9;я тот остовил от всему
200;1;0.9;опровь меня взвупит
200;2;0.9;буд и не повожие меня плаваюяки, какти ты
200;3;0.9;мерену, залей в дверной
200;4;0.9;ачее сказалсяри казнот
200;0;1.2;велого она, для зау бегглем ожичннуми, что этой гаррьне и запиесе
200;1;1.2;гарри магночнуригом вас слмоно
200;2;1.2;хотер тых, польки, усталодя насирот
200;3;1.2;итса у сод ваз раз
200;4;1.2;теперела
200;0;1.5;ямдух, стния, снувноеи, нехо мэтие квец, личотамя
200;1;1.5;мепят, чевееет пагниа
200;2;1.5;испулаетирос, уатдетерон мелт
200;3;1.5;ымтепя прлака вошло с аще
200;4;1.5;хобо, брох десрис
250;0;0.3;как потом не попола слова
250;1;0.3;не которой уже все стала
250;2;0.3;все с не в столо сказал гарри
250;3;0.3;не слушал на него получал слова
250;4;0.3;не подомет, что все не он
250;0;0.6;волшебниносте то комнать
250;1;0.6;ответил гарри, рон смептет
250;2;0.6;до не порожет, постали, что ты от на вугте
250;3;0.6;весь заказал за собо
250;4;0.6;да, постабя после застрик
250;0;0.9;и в комодем давалась глязо, бол этся прило
250;1;0.9;теперь они не будло было слегам
250;2;0.9;он просто воссей заслишки
250;3;0.9;ты тебя было нем залинали, что омется
250;4;0.9;всмину, вершли вовав
250;0;1.2;имбе, мка дсюгнул, ихон к, кутил пры
250;1;1.2;почега, те выдслвал подазженей
250;2;1.2;дйеном риче смешилем глобела, я ли
250;3;1.2;око побый, в ему отскака в нуж
250;4;1.2;фрегл с осошет, прифебщил на пыли не сая слава то
250;0;1.5;у бал, ховуист гамби
250;1;1.5;кстол, вно те тыме
250;2;1.5;поньхожэюнся воюздо, очащелаю
250;3;1.5;гарри,, к воленом от аженце гарры
250;4;1.5;о нифюд озназае пееси сефетыв
300;0;0.3;посто на стала сказал себя сказал придим
300;1;0.3;не спосил он продолжал сказал серидор
300;2;0.3;не собрастела повернулся с него стором
300;3;0.3;то столь с него не потому
300;4;0.3;сказал гарри в камин гарри
300;0;0.6;я тон дом на не семнил не они вереда и головой было
300;1;0.6;ты все с него уобрали
300;2;0.6;не знаем, что немнуто потьст
300;3;0.6;в дамна перед рон, взгляде будя
300;4;0.6;начал гарри с потом, был снер и нес не здоровл не поробага с сказать
300;0;0.9;к смучани, какаю застрикиее
300;1;0.9;пришел свуче на пос мате ченовия сего петом
300;2;0.9;юм скровел рон, прочет как, захориширосни, позголвизной
300;3;0.9;это чпомый не на скожее за гладе
300;4;0.9;гарри втаржие профессор она осказал на голоса спальну
300;0;1.2;он кровел мдал вимси
300;1;1.2;почевуи еще буденого хомон ог
300;2;1.2;
300;3;1.2;эекжавику, это брова вы уержу тимуют
300;4;1.2;авесли у сириус в общу нехикупа, тез и лишку
300;0;1.5;смятдел, мя я ху сказала
300;1;1.5;так здиечнуюсирогуим
300;2;1.5;яшнев лышди белк ведез, есятьяный
300;3;1.5;к невор к оворелой яка
300;4;1.5;был рыл: сжиодил, уавел
350;0;0.3;ты не спольно старос, она вернулась на него то то вернул в половал
350;1;0.3;сказал он он потом в сказали
350;2;0.3;не знаете, что вы стали на него тебя поднял на вознучался в него волшебнико
350;3;0.3;не столо без несторова
350;4;0.3;не поднял ужи волшебный сторой воскух собрать
350;0;0.6;не знаю, помомуте просто сторона
350;1;0.6;почему то не знаеть не то джейн
350;2;0.6;профессор ему дожеренные
350;3;0.6;он состал на тебя она поли семани
350;4;0.6;что ты спосил, что то нетем не хочел он за него не спотил ничего не была
350;0;0.9;они нетеловелесся дамблдор
350;1;0.9;беспосвилл херега
350;2;0.9;добэпис на тонь все не и тикя будок
350;3;0.9;недествой было отдрежила ре
350;4;0.9;он удредамнонины вшег не быет сказался залировать
350;0;1.2;я харицитетесьшше фред
350;1;1.2;урожуси и ужо сидетьсти
350;2;1.2;она знал гвати в холоре
350;3;1.2;рона вор за нис
350;4;1.2;дома
350;0;1.5;йножжоенчхого про я ласашти несящутию
350;1;1.5;увивныла, но хврахатеа, бырже
350;2;1.5;тага, афуглюх, етоелу сдосгятитося
350;3;1.5;что, бинелйи, очетэть
350;4;1.5;дах же  схоел не теякцеи
400;0;0.3;не знаю, но волшебнить в полочком
400;1;0.3;потом поднял на него столом
400;2;0.3;он подавила и не старовов
400;3;0.3;да, сказал гарри под него поднял
400;4;0.3;посто уже сказал гарри
400;0;0.6;почему он понялиесь сказал
400;1;0.6;мы имеешь, покринался на очередно
400;2;0.6;гарри, после радоме могли
400;3;0.6;в не нет меня мы топере
400;4;0.6;не возвори стола сказал морти
400;0;0.9;по чим, демелась, будто полю
400;1;0.9;понисал емо врад, судение вожей
400;2;0.9;вме додоралновала видитьсев
400;3;0.9;ты перестаном, есть поталится
400;4;0.9;он радал он визился кри поз чарый, не всерахце
400;0;1.2;но, невуюрт неалко тыщу все тетим
400;1;1.2;ты трвадить
400;2;1.2;распотутне дейнали не зволрвны
400;3;1.2;гррида, сейчас быскревалесь
400;4;1.2;нох винст ты отнедого на спосить могу, поттела
400;0;1.5;опозтрьи в камыжеуке
400;1;1.5;ты подляпуя кзлязавшам оввыйсли, кайки перчил, убойого
400;2;1.5;после одтряталапиинс
400;3;1.5;нетьюрки, сказал он
400;4;1.5;он очелнываеля длижнилая ученаие машпеми нав ск,хнесь
